"Epoch","sage-sweep-27 - _step","sage-sweep-27 - _step__MIN","sage-sweep-27 - _step__MAX","sage-sweep-27 - Loss","sage-sweep-27 - Loss__MIN","sage-sweep-27 - Loss__MAX","feasible-sweep-3 - _step","feasible-sweep-3 - _step__MIN","feasible-sweep-3 - _step__MAX","feasible-sweep-3 - Loss","feasible-sweep-3 - Loss__MIN","feasible-sweep-3 - Loss__MAX","driven-sweep-4 - _step","driven-sweep-4 - _step__MIN","driven-sweep-4 - _step__MAX","driven-sweep-4 - Loss","driven-sweep-4 - Loss__MIN","driven-sweep-4 - Loss__MAX","wise-sweep-30 - _step","wise-sweep-30 - _step__MIN","wise-sweep-30 - _step__MAX","wise-sweep-30 - Loss","wise-sweep-30 - Loss__MIN","wise-sweep-30 - Loss__MAX","swift-sweep-20 - _step","swift-sweep-20 - _step__MIN","swift-sweep-20 - _step__MAX","swift-sweep-20 - Loss","swift-sweep-20 - Loss__MIN","swift-sweep-20 - Loss__MAX","rich-sweep-12 - _step","rich-sweep-12 - _step__MIN","rich-sweep-12 - _step__MAX","rich-sweep-12 - Loss","rich-sweep-12 - Loss__MIN","rich-sweep-12 - Loss__MAX","bumbling-sweep-9 - _step","bumbling-sweep-9 - _step__MIN","bumbling-sweep-9 - _step__MAX","bumbling-sweep-9 - Loss","bumbling-sweep-9 - Loss__MIN","bumbling-sweep-9 - Loss__MAX","glad-sweep-33 - _step","glad-sweep-33 - _step__MIN","glad-sweep-33 - _step__MAX","glad-sweep-33 - Loss","glad-sweep-33 - Loss__MIN","glad-sweep-33 - Loss__MAX","ethereal-sweep-29 - _step","ethereal-sweep-29 - _step__MIN","ethereal-sweep-29 - _step__MAX","ethereal-sweep-29 - Loss","ethereal-sweep-29 - Loss__MIN","ethereal-sweep-29 - Loss__MAX","winter-sweep-18 - _step","winter-sweep-18 - _step__MIN","winter-sweep-18 - _step__MAX","winter-sweep-18 - Loss","winter-sweep-18 - Loss__MIN","winter-sweep-18 - Loss__MAX","flowing-sweep-8 - _step","flowing-sweep-8 - _step__MIN","flowing-sweep-8 - _step__MAX","flowing-sweep-8 - Loss","flowing-sweep-8 - Loss__MIN","flowing-sweep-8 - Loss__MAX","good-sweep-17 - _step","good-sweep-17 - _step__MIN","good-sweep-17 - _step__MAX","good-sweep-17 - Loss","good-sweep-17 - Loss__MIN","good-sweep-17 - Loss__MAX","exalted-sweep-7 - _step","exalted-sweep-7 - _step__MIN","exalted-sweep-7 - _step__MAX","exalted-sweep-7 - Loss","exalted-sweep-7 - Loss__MIN","exalted-sweep-7 - Loss__MAX","revived-sweep-15 - _step","revived-sweep-15 - _step__MIN","revived-sweep-15 - _step__MAX","revived-sweep-15 - Loss","revived-sweep-15 - Loss__MIN","revived-sweep-15 - Loss__MAX","stellar-sweep-2 - _step","stellar-sweep-2 - _step__MIN","stellar-sweep-2 - _step__MAX","stellar-sweep-2 - Loss","stellar-sweep-2 - Loss__MIN","stellar-sweep-2 - Loss__MAX","astral-sweep-16 - _step","astral-sweep-16 - _step__MIN","astral-sweep-16 - _step__MAX","astral-sweep-16 - Loss","astral-sweep-16 - Loss__MIN","astral-sweep-16 - Loss__MAX","dashing-sweep-21 - _step","dashing-sweep-21 - _step__MIN","dashing-sweep-21 - _step__MAX","dashing-sweep-21 - Loss","dashing-sweep-21 - Loss__MIN","dashing-sweep-21 - Loss__MAX","good-sweep-5 - _step","good-sweep-5 - _step__MIN","good-sweep-5 - _step__MAX","good-sweep-5 - Loss","good-sweep-5 - Loss__MIN","good-sweep-5 - Loss__MAX","happy-sweep-32 - _step","happy-sweep-32 - _step__MIN","happy-sweep-32 - _step__MAX","happy-sweep-32 - Loss","happy-sweep-32 - Loss__MIN","happy-sweep-32 - Loss__MAX","celestial-sweep-6 - _step","celestial-sweep-6 - _step__MIN","celestial-sweep-6 - _step__MAX","celestial-sweep-6 - Loss","celestial-sweep-6 - Loss__MIN","celestial-sweep-6 - Loss__MAX","breezy-sweep-31 - _step","breezy-sweep-31 - _step__MIN","breezy-sweep-31 - _step__MAX","breezy-sweep-31 - Loss","breezy-sweep-31 - Loss__MIN","breezy-sweep-31 - Loss__MAX","sweet-sweep-10 - _step","sweet-sweep-10 - _step__MIN","sweet-sweep-10 - _step__MAX","sweet-sweep-10 - Loss","sweet-sweep-10 - Loss__MIN","sweet-sweep-10 - Loss__MAX","smart-sweep-13 - _step","smart-sweep-13 - _step__MIN","smart-sweep-13 - _step__MAX","smart-sweep-13 - Loss","smart-sweep-13 - Loss__MIN","smart-sweep-13 - Loss__MAX","twilight-sweep-1 - _step","twilight-sweep-1 - _step__MIN","twilight-sweep-1 - _step__MAX","twilight-sweep-1 - Loss","twilight-sweep-1 - Loss__MIN","twilight-sweep-1 - Loss__MAX","royal-sweep-19 - _step","royal-sweep-19 - _step__MIN","royal-sweep-19 - _step__MAX","royal-sweep-19 - Loss","royal-sweep-19 - Loss__MIN","royal-sweep-19 - Loss__MAX","youthful-sweep-28 - _step","youthful-sweep-28 - _step__MIN","youthful-sweep-28 - _step__MAX","youthful-sweep-28 - Loss","youthful-sweep-28 - Loss__MIN","youthful-sweep-28 - Loss__MAX","firm-sweep-24 - _step","firm-sweep-24 - _step__MIN","firm-sweep-24 - _step__MAX","firm-sweep-24 - Loss","firm-sweep-24 - Loss__MIN","firm-sweep-24 - Loss__MAX","fresh-sweep-11 - _step","fresh-sweep-11 - _step__MIN","fresh-sweep-11 - _step__MAX","fresh-sweep-11 - Loss","fresh-sweep-11 - Loss__MIN","fresh-sweep-11 - Loss__MAX","laced-sweep-24 - _step","laced-sweep-24 - _step__MIN","laced-sweep-24 - _step__MAX","laced-sweep-24 - Loss","laced-sweep-24 - Loss__MIN","laced-sweep-24 - Loss__MAX","good-sweep-25 - _step","good-sweep-25 - _step__MIN","good-sweep-25 - _step__MAX","good-sweep-25 - Loss","good-sweep-25 - Loss__MIN","good-sweep-25 - Loss__MAX"
"1","7.5","0","15","0.6667625000000001","0.2315","3.5306","3.5","0","7","0.8735250000000001","0.2865","3.1339","2","0","4","2.1194200000000003","1.1006","3.7357","3.5","0","7","0.8955500000000001","0.321","3.1213","2","0","4","0.8728000000000001","0.2876","2.5451","7.5","0","15","0.8729625000000001","0.2997","3.8369","3.5","0","7","1.4956124999999998","0.5764","3.6783","3.5","0","7","0.8909874999999999","0.4109","2.8307","3.5","0","7","1.022325","0.479","3.2456","3.5","0","7","0.9255374999999999","0.4015","3.1249","1.5","0","3","0.946875","0.3321","2.3694","1.5","0","3","0.9497249999999999","0.348","2.3462","7.5","0","15","0.7081500000000001","0.2402","3.6307","1.5","0","3","0.99965","0.3374","2.465","1.5","0","3","0.69185","0.3541","1.5256","1.5","0","3","0.70225","0.3642","1.5578","2","0","4","1.01936","0.4405","2.5238","3.5","0","7","1.1603874999999997","0.4507","4.0214","3.5","0","7","1.1695625","0.4689","3.572","3.5","0","7","0.8478125","0.4337","2.6698","1.5","0","3","0.8205500000000001","0.4479","1.768","2","0","4","0.673","0.3296","1.7025","2","0","4","0.81228","0.406","2.0562","2","0","4","1.2441200000000001","0.4399","3.5123","3.5","0","7","0.7307875","0.3593","2.3905","1.5","0","3","1.2407249999999999","0.4251","2.7957","7.5","0","15","1.0907437500000006","0.3049","3.9884","7.5","0","15","0.7027750000000001","0.2283","3.6877","7.5","0","15","0.7116625","0.2374","3.6249","2","0","4","0.8293200000000001","0.3966","2.169"
"2","25.5","18","33","0.06936250000000001","0.0542","0.0869","13.5","10","17","0.1059625","0.0904","0.1214","9","7","11","0.58334","0.4591","0.7481","13.5","10","17","0.1079","0.0919","0.1226","9","7","11","0.09292","0.081","0.112","25.5","18","33","0.10814375","0.0787","0.1404","13.5","10","17","0.2997","0.2411","0.3856","13.5","10","17","0.327175","0.2523","0.3687","13.5","10","17","0.33378749999999996","0.2951","0.3826","13.5","10","17","0.3125","0.2806","0.3452","7.5","6","9","0.11649999999999999","0.1078","0.1341","7.5","6","9","0.11897500000000001","0.1023","0.1365","25.5","18","33","0.075875","0.0528","0.1036","7.5","6","9","0.1283","0.1156","0.1498","7.5","6","9","0.193075","0.1591","0.225","7.5","6","9","0.20442499999999997","0.1853","0.2234","9","7","11","0.29359999999999997","0.2613","0.3231","13.5","10","17","0.33437500000000003","0.2945","0.3653","13.5","10","17","0.327025","0.2869","0.3587","13.5","10","17","0.287075","0.2334","0.3305","7.5","6","9","0.255725","0.2328","0.288","9","7","11","0.17487999999999998","0.1581","0.1882","9","7","11","0.26498","0.2334","0.2886","9","7","11","0.31101999999999996","0.2753","0.3265","13.5","10","17","0.2359125","0.1861","0.2799","7.5","6","9","0.19849999999999998","0.1831","0.2289","25.5","18","33","0.15823749999999998","0.1148","0.1925","25.5","18","33","0.0716","0.0548","0.0922","25.5","18","33","0.07760625000000002","0.064","0.0912","9","7","11","0.27283999999999997","0.2377","0.3076"
"3","43.5","36","51","0.009750000000000002","0.0065","0.0164","23.5","20","27","0.023975000000000003","0.0202","0.0318","16","14","18","0.28598","0.2577","0.3269","23.5","20","27","0.0274625","0.0205","0.0374","16","14","18","0.02","0.0165","0.0247","43.5","36","51","0.02585625","0.0179","0.0343","23.5","20","27","0.12733750000000002","0.1112","0.1449","23.5","20","27","0.238875","0.1963","0.2832","23.5","20","27","0.2573375","0.1702","0.3104","23.5","20","27","0.215675","0.1739","0.2606","13.5","12","15","0.029875","0.0252","0.0368","13.5","12","15","0.03255","0.028","0.0401","43.5","36","51","0.01270625","0.008","0.0192","13.5","12","15","0.0364","0.0315","0.0431","13.5","12","15","0.07852500000000001","0.0619","0.1033","13.5","12","15","0.101875","0.0831","0.1298","16","14","18","0.20181999999999997","0.1751","0.2322","23.5","20","27","0.2126875","0.1559","0.2525","23.5","20","27","0.23545","0.1839","0.3146","23.5","20","27","0.2036375","0.145","0.2742","13.5","12","15","0.153675","0.1219","0.1992","16","14","18","0.06792000000000001","0.053","0.0887","16","14","18","0.17724","0.1259","0.2254","16","14","18","0.19506","0.1346","0.2242","23.5","20","27","0.142525","0.0952","0.2035","13.5","12","15","0.06545000000000001","0.0567","0.076","43.5","36","51","0.04918125","0.0379","0.0616","43.5","36","51","0.011937500000000002","0.0078","0.017","43.5","36","51","0.014212499999999998","0.0099","0.0203","16","14","18","0.15616000000000002","0.117","0.2055"
"4","61.5","54","69","0.004399999999999999","0.0032","0.0052","33.5","30","37","0.0120625","0.0102","0.0143","23","21","25","0.16854","0.151","0.1816","33.5","30","37","0.01375","0.0122","0.0159","23","21","25","0.01048","0.0095","0.0119","61.5","54","69","0.013056250000000002","0.0108","0.0153","33.5","30","37","0.067525","0.059","0.0752","33.5","30","37","0.2012","0.1535","0.2483","33.5","30","37","0.22168749999999998","0.1665","0.2555","33.5","30","37","0.19416250000000002","0.1137","0.2575","19.5","18","21","0.01565","0.0143","0.0172","19.5","18","21","0.017025000000000002","0.0152","0.0189","61.5","54","69","0.006306250000000001","0.0047","0.0084","19.5","18","21","0.018875000000000003","0.0171","0.0208","19.5","18","21","0.06415","0.0504","0.081","19.5","18","21","0.082975","0.0564","0.1051","23","21","25","0.17918","0.1242","0.2096","33.5","30","37","0.17321250000000002","0.1333","0.2126","33.5","30","37","0.1847875","0.1358","0.2508","33.5","30","37","0.1625375","0.1134","0.1987","19.5","18","21","0.13895","0.1054","0.171","23","21","25","0.04698","0.0274","0.0591","23","21","25","0.12844","0.1109","0.173","23","21","25","0.14632","0.1133","0.1803","33.5","30","37","0.1013","0.0554","0.1771","19.5","18","21","0.0327","0.0288","0.0364","61.5","54","69","0.0232875","0.019","0.0282","61.5","54","69","0.005375","0.0042","0.0067","61.5","54","69","0.00685","0.0054","0.0081","23","21","25","0.13406","0.0829","0.2056"
"5","79.5","72","87","0.0030687499999999994","0.0024","0.0048","43.5","40","47","0.0084375","0.0076","0.0092","30","28","32","0.10800000000000001","0.0999","0.1146","43.5","40","47","0.0097625","0.0085","0.0111","30","28","32","0.007479999999999999","0.0068","0.0083","79.5","72","87","0.00901875","0.0077","0.0102","43.5","40","47","0.0438375","0.0387","0.0481","43.5","40","47","0.1827625","0.143","0.2342","43.5","40","47","0.183075","0.1249","0.2187","43.5","40","47","0.156425","0.1132","0.2299","25.5","24","27","0.011300000000000001","0.0103","0.0123","25.5","24","27","0.012","0.011","0.0133","79.5","72","87","0.0042125","0.0036","0.0054","25.5","24","27","0.013475","0.0125","0.0146","25.5","24","27","0.0421","0.0287","0.0486","25.5","24","27","0.07675","0.053","0.1062","30","28","32","0.1537","0.108","0.1888","43.5","40","47","0.1484625","0.0943","0.1829","43.5","40","47","0.154975","0.0943","0.1857","43.5","40","47","0.12955","0.0841","0.1921","25.5","24","27","0.112525","0.0846","0.1548","30","28","32","0.04698","0.0306","0.0646","30","28","32","0.11185999999999999","0.0822","0.1384","30","28","32","0.12974000000000002","0.1012","0.1915","43.5","40","47","0.0911375","0.0412","0.1445","25.5","24","27","0.022275","0.021","0.0244","79.5","72","87","0.015743749999999997","0.0138","0.0187","79.5","72","87","0.00368125","0.0029","0.0041","79.5","72","87","0.00459375","0.0038","0.0057","30","28","32","0.11244000000000001","0.0861","0.1436"
"6","97.5","90","105","0.0024875","0.0019","0.0035","53.5","50","57","0.006637500000000001","0.0057","0.0072","37","35","39","0.07672","0.0732","0.0851","53.5","50","57","0.007675","0.007","0.0084","37","35","39","0.005800000000000001","0.0054","0.0062","97.5","90","105","0.00695625","0.0061","0.0079","53.5","50","57","0.03233749999999999","0.0307","0.034","53.5","50","57","0.16266250000000002","0.1127","0.2154","53.5","50","57","0.17451250000000001","0.1428","0.2168","53.5","50","57","0.1625625","0.1022","0.2365","31.5","30","33","0.008725","0.0082","0.0093","31.5","30","33","0.009349999999999999","0.0089","0.0101","97.5","90","105","0.0031562499999999993","0.0028","0.0035","31.5","30","33","0.01045","0.0097","0.011","31.5","30","33","0.04897499999999999","0.0305","0.0672","31.5","30","33","0.066425","0.0516","0.1051","37","35","39","0.11892","0.0831","0.146","53.5","50","57","0.13319999999999999","0.0855","0.1882","53.5","50","57","0.1591","0.0927","0.228","53.5","50","57","0.1114","0.0443","0.1566","31.5","30","33","0.10265000000000002","0.0788","0.1247","37","35","39","0.03634","0.0259","0.0445","37","35","39","0.11314000000000002","0.0873","0.132","37","35","39","0.12410000000000002","0.1021","0.163","53.5","50","57","0.08653750000000002","0.0457","0.1239","31.5","30","33","0.0171","0.0164","0.0183","97.5","90","105","0.011956249999999998","0.0102","0.0131","97.5","90","105","0.00276875","0.0024","0.0034","97.5","90","105","0.0034875","0.0031","0.0039","37","35","39","0.12278","0.0859","0.1975"
"7","115.5","108","123","0.00190625","0.0016","0.0023","63.5","60","67","0.005425","0.0048","0.0061","44","42","46","0.05938","0.0573","0.063","63.5","60","67","0.006262500000000001","0.0059","0.0065","44","42","46","0.0047799999999999995","0.0044","0.005","115.5","108","123","0.005574999999999999","0.0048","0.0062","63.5","60","67","0.0256375","0.0241","0.0271","63.5","60","67","0.136175","0.088","0.1634","63.5","60","67","0.1558375","0.0882","0.2369","63.5","60","67","0.12132499999999999","0.0621","0.1731","37.5","36","39","0.0072250000000000005","0.0068","0.0077","37.5","36","39","0.0077","0.0074","0.008","115.5","108","123","0.00263125","0.0021","0.0029","37.5","36","39","0.008525","0.008","0.0089","37.5","36","39","0.049049999999999996","0.0362","0.0631","37.5","36","39","0.05405","0.0447","0.0662","44","42","46","0.13212","0.0873","0.1715","63.5","60","67","0.11403750000000001","0.0609","0.1795","63.5","60","67","0.1373375","0.0924","0.1738","63.5","60","67","0.11178750000000001","0.0721","0.1355","37.5","36","39","0.08685","0.0755","0.0943","44","42","46","0.027460000000000002","0.0231","0.03","44","42","46","0.10162","0.0767","0.1326","44","42","46","0.10823999999999998","0.093","0.1397","63.5","60","67","0.07131249999999999","0.0416","0.0871","37.5","36","39","0.013925","0.0131","0.0149","115.5","108","123","0.00945625","0.0083","0.0101","115.5","108","123","0.0023875000000000003","0.002","0.003","115.5","108","123","0.0028562500000000003","0.0025","0.0034","44","42","46","0.08897999999999999","0.0715","0.1242"
"8","133.5","126","141","0.0016250000000000004","0.0014","0.0021","73.5","70","77","0.0046","0.0042","0.0051","51","49","53","0.04768","0.0452","0.0503","73.5","70","77","0.005262499999999999","0.005","0.0057","51","49","53","0.004020000000000001","0.0038","0.0043","133.5","126","141","0.004593750000000001","0.0041","0.005","73.5","70","77","0.021224999999999997","0.02","0.0221","73.5","70","77","0.11923750000000001","0.0864","0.1409","73.5","70","77","0.14365","0.0969","0.1793","73.5","70","77","0.133325","0.0811","0.1819","43.5","42","45","0.006125","0.0058","0.0065","43.5","42","45","0.006475","0.0063","0.0067","133.5","126","141","0.0022375","0.0019","0.0024","43.5","42","45","0.0072250000000000005","0.0069","0.0075","43.5","42","45","0.039875","0.0296","0.0505","43.5","42","45","0.05205","0.0256","0.0757","51","49","53","0.1439","0.1022","0.1753","73.5","70","77","0.11108749999999999","0.0661","0.1804","73.5","70","77","0.102075","0.0557","0.132","73.5","70","77","0.091175","0.0557","0.1434","43.5","42","45","0.07475","0.0538","0.105","51","49","53","0.040459999999999996","0.0139","0.0658","51","49","53","0.09902","0.0691","0.1404","51","49","53","0.08138","0.0543","0.1141","73.5","70","77","0.0672875","0.0345","0.0938","43.5","42","45","0.011600000000000001","0.0112","0.0123","133.5","126","141","0.008112500000000002","0.0074","0.0094","133.5","126","141","0.00196875","0.0017","0.0028","133.5","126","141","0.0024124999999999997","0.0021","0.0027","51","49","53","0.07827999999999999","0.0594","0.0957"
"9","151.5","144","159","0.00148125","0.0013","0.0018","83.5","80","87","0.0039875","0.0037","0.0042","58","56","60","0.03952","0.0374","0.041","83.5","80","87","0.004575","0.0043","0.0049","58","56","60","0.0034799999999999996","0.0033","0.0036","151.5","144","159","0.004075","0.0037","0.0047","83.5","80","87","0.0181625","0.0171","0.0193","83.5","80","87","0.13255","0.0859","0.1705","83.5","80","87","0.16920000000000002","0.1144","0.2149","83.5","80","87","0.1117625","0.0618","0.1535","49.5","48","51","0.0053","0.0052","0.0055","49.5","48","51","0.005575","0.0053","0.0058","151.5","144","159","0.0019499999999999997","0.0017","0.0024","49.5","48","51","0.006275","0.0059","0.0065","49.5","48","51","0.03175","0.0242","0.0418","49.5","48","51","0.046099999999999995","0.0293","0.059","58","56","60","0.09264","0.0644","0.1141","83.5","80","87","0.0977875","0.0638","0.1179","83.5","80","87","0.12038750000000001","0.0624","0.1956","83.5","80","87","0.0792125","0.0382","0.1248","49.5","48","51","0.084925","0.0581","0.1153","58","56","60","0.029960000000000004","0.0187","0.0395","58","56","60","0.07762000000000001","0.0476","0.0998","58","56","60","0.07696","0.0627","0.0924","83.5","80","87","0.06483749999999999","0.0439","0.0847","49.5","48","51","0.01","0.0097","0.0103","151.5","144","159","0.006868750000000001","0.006","0.0079","151.5","144","159","0.0016687499999999999","0.0014","0.0019","151.5","144","159","0.0021625","0.0018","0.0025","58","56","60","0.06986","0.0459","0.086"
"10","169.5","162","177","0.0012625","0.0011","0.0015","93.5","90","97","0.0035125","0.0033","0.0039","65","63","67","0.033999999999999996","0.0328","0.0352","93.5","90","97","0.004025","0.0038","0.0042","65","63","67","0.00312","0.003","0.0032","169.5","162","177","0.0035562500000000013","0.0033","0.004","93.5","90","97","0.015587499999999999","0.0152","0.016","93.5","90","97","0.113475","0.0823","0.1468","93.5","90","97","0.1353","0.0944","0.2191","93.5","90","97","0.11606250000000001","0.0572","0.1881","55.5","54","57","0.0047","0.0046","0.0049","55.5","54","57","0.00495","0.0048","0.0051","169.5","162","177","0.0017062500000000003","0.0015","0.002","55.5","54","57","0.005474999999999999","0.0053","0.0056","55.5","54","57","0.021475","0.019","0.0229","55.5","54","57","0.044625","0.0331","0.0694","65","63","67","0.11945999999999998","0.0939","0.1478","93.5","90","97","0.10515","0.0586","0.1415","93.5","90","97","0.1061625","0.0771","0.1453","93.5","90","97","0.1042875","0.0609","0.1461","55.5","54","57","0.08952500000000001","0.0555","0.117","65","63","67","0.0263","0.0229","0.0304","65","63","67","0.06604000000000002","0.0394","0.0913","65","63","67","0.11363999999999999","0.1019","0.1266","93.5","90","97","0.057800000000000004","0.0301","0.0831","55.5","54","57","0.008775000000000002","0.0085","0.0091","169.5","162","177","0.006081249999999999","0.0052","0.0068","169.5","162","177","0.0015","0.0012","0.002","169.5","162","177","0.0019125000000000001","0.0015","0.0021","65","63","67","0.09328","0.0692","0.1208"
"11","","","","","","","103.5","100","107","0.0031374999999999997","0.0029","0.0033","72","70","74","0.02988","0.0293","0.0309","103.5","100","107","0.0036499999999999996","0.0035","0.0039","72","70","74","0.0028000000000000004","0.0027","0.0029","187.5","180","195","0.0032500000000000003","0.0029","0.0036","103.5","100","107","0.0140625","0.0136","0.0147","103.5","100","107","0.1002625","0.0599","0.1613","103.5","100","107","0.12106249999999999","0.0895","0.1889","103.5","100","107","0.0843625","0.0577","0.1037","61.5","60","63","0.004175","0.004","0.0044","61.5","60","63","0.004475","0.0043","0.0046","187.5","180","195","0.0015124999999999997","0.0013","0.0017","61.5","60","63","0.004925","0.0047","0.0052","61.5","60","63","0.036425","0.0088","0.0803","61.5","60","63","0.04725","0.0403","0.0615","72","70","74","0.08453999999999999","0.0504","0.1341","103.5","100","107","0.0880125","0.0505","0.1201","103.5","100","107","0.10099999999999999","0.0574","0.1515","103.5","100","107","0.0821","0.0337","0.1276","61.5","60","63","0.078725","0.0732","0.0876","72","70","74","0.02152","0.0142","0.0305","72","70","74","0.10046","0.0738","0.1352","72","70","74","0.0826","0.0758","0.0911","103.5","100","107","0.055650000000000005","0.0263","0.0797","61.5","60","63","0.007825","0.0077","0.0079","187.5","180","195","0.005356250000000001","0.0049","0.0059","187.5","180","195","0.0012937499999999998","0.001","0.0015","187.5","180","195","0.0016875","0.0015","0.0021","72","70","74","0.0724","0.0575","0.1012"
"12","","","","","","","113.5","110","117","0.002875","0.0028","0.003","79","77","81","0.0263","0.0258","0.0268","113.5","110","117","0.0032875","0.0031","0.0034","79","77","81","0.00252","0.0024","0.0026","205.5","198","213","0.0029437499999999993","0.0025","0.0036","113.5","110","117","0.0125875","0.0117","0.013","113.5","110","117","0.1086625","0.0723","0.1635","113.5","110","117","0.1052375","0.0691","0.1381","113.5","110","117","0.10882499999999999","0.0654","0.1505","67.5","66","69","0.0037999999999999996","0.0036","0.0039","67.5","66","69","0.004025","0.0039","0.0042","205.5","198","213","0.0013562499999999998","0.0011","0.0016","67.5","66","69","0.004425","0.0043","0.0046","67.5","66","69","0.042624999999999996","0.0358","0.05","67.5","66","69","0.052000000000000005","0.0335","0.0675","79","77","81","0.10735999999999998","0.0864","0.1304","113.5","110","117","0.09316250000000001","0.0524","0.1523","113.5","110","117","0.1139875","0.0931","0.1447","113.5","110","117","0.07037500000000001","0.0433","0.1032","67.5","66","69","0.0746","0.0573","0.107","79","77","81","0.0279","0.0202","0.0357","79","77","81","0.07034","0.045","0.0883","79","77","81","0.05726","0.0334","0.0822","113.5","110","117","0.06505","0.0264","0.0985","67.5","66","69","0.007","0.0068","0.0071","205.5","198","213","0.004799999999999999","0.0044","0.0054","205.5","198","213","0.001175","0.001","0.0014","205.5","198","213","0.0014812500000000001","0.0013","0.0018","79","77","81","0.06624","0.0527","0.0813"
"13","","","","","","","123.5","120","127","0.002575","0.0024","0.0027","86","84","88","0.02374","0.0229","0.0245","123.5","120","127","0.003","0.0028","0.0031","86","84","88","0.0023","0.0022","0.0024","223.5","216","231","0.0026125000000000002","0.0023","0.0028","123.5","120","127","0.0112125","0.0106","0.0116","123.5","120","127","0.0994375","0.074","0.1533","123.5","120","127","0.09767500000000001","0.0632","0.1345","123.5","120","127","0.0913875","0.0464","0.1369","73.5","72","75","0.003425","0.0033","0.0035","73.5","72","75","0.0036499999999999996","0.0036","0.0038","223.5","216","231","0.0012","0.0011","0.0013","73.5","72","75","0.0040750000000000005","0.004","0.0042","73.5","72","75","0.0369","0.0238","0.0535","73.5","72","75","0.032850000000000004","0.0298","0.0374","86","84","88","0.09566","0.0799","0.1235","123.5","120","127","0.0872375","0.0646","0.149","123.5","120","127","0.09427500000000001","0.0578","0.1279","123.5","120","127","0.06245","0.0204","0.0954","73.5","72","75","0.10805000000000001","0.1022","0.1173","86","84","88","0.02286","0.0125","0.0353","86","84","88","0.058800000000000005","0.0394","0.08","86","84","88","0.07146000000000001","0.0607","0.0787","123.5","120","127","0.056625","0.034","0.069","73.5","72","75","0.0064","0.0062","0.0066","223.5","216","231","0.004331250000000001","0.0041","0.0046","223.5","216","231","0.0010625000000000005","0.0009","0.0015","223.5","216","231","0.0013437499999999997","0.0012","0.0016","86","84","88","0.07772","0.0614","0.0897"
"14","","","","","","","133.5","130","137","0.002375","0.0023","0.0025","93","91","95","0.021700000000000004","0.0206","0.0224","133.5","130","137","0.0027","0.0026","0.0028","93","91","95","0.0021199999999999995","0.0021","0.0022","241.5","234","249","0.00243125","0.0022","0.0026","133.5","130","137","0.010275","0.0098","0.0106","133.5","130","137","0.09736249999999999","0.0672","0.1345","133.5","130","137","0.1297375","0.093","0.1841","133.5","130","137","0.095225","0.055","0.1488","79.5","78","81","0.003175","0.0031","0.0032","79.5","78","81","0.003325","0.0032","0.0034","241.5","234","249","0.00109375","0.0009","0.0013","79.5","78","81","0.003725","0.0037","0.0038","79.5","78","81","0.0348","0.0231","0.0548","79.5","78","81","0.047075","0.0214","0.0646","93","91","95","0.0908","0.0619","0.1154","133.5","130","137","0.0766875","0.0553","0.1015","133.5","130","137","0.10221250000000001","0.0611","0.1684","133.5","130","137","0.0675625","0.0447","0.0961","79.5","78","81","0.056975","0.0477","0.0707","93","91","95","0.02404","0.0207","0.0271","93","91","95","0.07931999999999999","0.0637","0.1011","93","91","95","0.11692","0.0848","0.1803","133.5","130","137","0.032012500000000006","0.0233","0.0457","79.5","78","81","0.0058249999999999994","0.0058","0.0059","241.5","234","249","0.0040125","0.0036","0.0047","241.5","234","249","0.0009500000000000001","0.0008","0.0011","241.5","234","249","0.0012437499999999996","0.0011","0.0014","93","91","95","0.05038","0.0322","0.0714"
"15","","","","","","","143.5","140","147","0.0022125","0.0021","0.0024","100","98","102","0.01976","0.0194","0.0203","143.5","140","147","0.002525","0.0024","0.0026","100","98","102","0.0019600000000000004","0.0019","0.0021","259.5","252","267","0.0021937500000000004","0.002","0.0025","143.5","140","147","0.009525","0.0093","0.0099","143.5","140","147","0.0983","0.0528","0.1387","143.5","140","147","0.12272500000000001","0.0702","0.1764","143.5","140","147","0.0931125","0.058","0.1666","85.5","84","87","0.00295","0.0029","0.003","85.5","84","87","0.003125","0.0031","0.0032","259.5","252","267","0.001075","0.0009","0.0013","85.5","84","87","0.003425","0.0034","0.0035","85.5","84","87","0.0148","0.0062","0.0213","85.5","84","87","0.044225","0.0267","0.0547","100","98","102","0.08968","0.0579","0.1271","143.5","140","147","0.09045","0.0526","0.1263","143.5","140","147","0.0863875","0.0673","0.1051","143.5","140","147","0.08358750000000001","0.0665","0.1419","85.5","84","87","0.046125000000000006","0.0397","0.054","100","98","102","0.015940000000000003","0.0086","0.0302","100","98","102","0.053200000000000004","0.03","0.0681","100","98","102","0.0699","0.0483","0.0957","143.5","140","147","0.051425","0.0234","0.0872","85.5","84","87","0.005424999999999999","0.0053","0.0055","259.5","252","267","0.00378125","0.0033","0.0042","259.5","252","267","0.0009125","0.0008","0.0011","259.5","252","267","0.00115625","0.0011","0.0013","100","98","102","0.07205999999999999","0.039","0.1065"
